Tag,Colony,Date,total_followed,total_movement,total_follower,count,sex,age,Total_Adults,Total_Adult_Females,Total_Adult_Males,Total_Subadults,Total_Juveniles,Group_Size
502,8.1,05/06/2012,0,5,0,11,1,1,5,2,3,2,0,7
502,8.1,10/08/2012,0,1,0,1,1,1,4,2,2,1,0,6
502,8.1,15/06/2012,0,8,0,26,1,1,8,3,5,2,0,10
502,8.1,16/06/2012,0,2,0,3,1,1,10,3,7,2,0,12
502,8.1,17/07/2012,0,6,0,17,1,1,9,4,5,4,0,13
502,8.1,30/06/2012,0,3,0,7,1,1,5,3,2,2,0,7
502,8.1,31/07/2012,0,7,0,14,1,1,5,3,2,3,0,8
502,44,20/06/2012,0,3,0,3,1,1,4,1,3,1,0,5
503,8.1,11/06/2012,0,1,0,1,1,1,8,3,5,2,0,10
503,8.1,15/06/2012,0,5,0,7,1,1,8,3,5,2,0,10
503,8.1,16/06/2012,0,6,0,12,1,1,10,3,7,2,0,12
503,8.1,17/07/2012,0,2,0,7,1,1,9,4,5,4,0,13
503,37,05/06/2012,0,2,0,11,1,1,3,0,3,0,0,3
503,52,27/07/2012,0,4,0,5,1,1,5,2,3,1,0,6
504,8.1,11/06/2012,0,4,0,6,1,1,8,3,5,2,0,10
504,8.1,15/06/2012,0,4,1,7,1,1,8,3,5,2,0,10
504,8.1,16/06/2012,0,6,1,6,1,1,10,3,7,2,0,12
504,37,01/07/2012,0,2,0,11,1,1,4,3,1,0,0,4
504,37,02/07/2012,0,3,0,13,1,1,4,3,1,0,0,4
504,37,03/06/2012,0,1,0,6,1,1,4,3,1,0,0,4
504,37,05/06/2012,0,7,0,17,1,1,3,0,3,0,0,3
504,37,05/08/2012,0,2,0,10,1,1,4,3,1,0,0,4
504,37,09/06/2012,0,4,0,19,1,1,4,3,1,0,0,4
504,37,13/06/2012,0,2,0,7,1,1,4,3,1,0,0,4
504,37,17/06/2012,0,2,0,10,1,1,4,3,1,0,0,4
504,37,22/05/2012,0,2,0,25,1,1,4,3,1,0,0,4
504,37,22/06/2012,0,10,0,26,1,1,4,3,1,0,0,4
504,37,24/06/2012,0,3,1,7,1,1,4,3,1,0,0,4
504,37,28/06/2012,0,3,0,20,1,1,4,3,1,0,0,4
504,37,29/06/2012,0,11,0,28,1,1,4,3,1,0,0,4
504,37,30/06/2012,0,4,0,32,1,1,4,3,1,0,0,4
504,52,21/07/2012,0,2,0,2,1,1,4,2,2,1,0,5
504,52,27/07/2012,0,1,0,1,1,1,5,2,3,1,0,6
504,52,28/07/2012,0,1,0,1,1,1,3,1,2,1,0,4
505,8.1,11/06/2012,0,7,1,7,1,1,8,3,5,2,0,10
505,8.1,15/06/2012,0,5,2,12,1,1,8,3,5,2,0,10
505,8.1,16/06/2012,0,5,1,6,1,1,10,3,7,2,0,12
505,37,05/06/2012,0,3,0,9,1,1,3,0,3,0,0,3
505,44,03/07/2012,0,2,0,3,1,1,3,0,3,1,0,4
505,44,23/05/2012,0,1,0,1,1,1,3,1,2,1,0,4
507,8.1,02/07/2012,0,6,0,27,2,1,5,3,2,2,0,7
507,8.1,03/07/2012,0,5,0,18,2,1,5,3,2,2,0,7
507,8.1,03/08/2012,0,3,0,16,2,1,4,2,2,2,0,6
507,8.1,04/07/2012,0,3,0,11,2,1,4,3,1,2,0,6
507,8.1,05/06/2012,0,4,0,24,2,1,5,2,3,2,0,7
507,8.1,10/08/2012,0,2,1,2,2,1,4,2,2,1,0,6
507,8.1,11/06/2012,0,4,0,14,2,1,8,3,5,2,0,10
507,8.1,15/06/2012,0,4,0,15,2,1,8,3,5,2,0,10
507,8.1,15/07/2012,0,1,0,13,2,1,4,3,1,2,0,6
507,8.1,16/06/2012,0,5,0,16,2,1,10,3,7,2,0,12
507,8.1,16/07/2012,0,5,0,10,2,1,3,3,0,2,0,5
507,8.1,17/07/2012,0,7,0,18,2,1,9,4,5,4,0,13
507,8.1,29/07/2012,0,1,0,1,2,1,2,1,1,1,0,4
507,8.1,30/06/2012,0,1,0,5,2,1,5,3,2,2,0,7
507,8.1,31/05/2012,3,10,0,24,2,1,3,3,0,2,0,5
507,8.1,31/07/2012,0,1,0,9,2,1,5,3,2,3,0,8
510,8.1,02/07/2012,0,4,0,14,2,1,5,3,2,2,0,7
510,8.1,02/08/2012,0,2,0,10,2,1,3,1,2,2,0,5
510,8.1,03/07/2012,0,6,0,16,2,1,5,3,2,2,0,7
510,8.1,03/08/2012,0,9,0,16,2,1,4,2,2,2,0,6
510,8.1,04/06/2012,1,10,0,17,2,1,2,1,1,0,0,2
510,8.1,04/07/2012,0,1,0,7,2,1,4,3,1,2,0,6
510,8.1,04/08/2012,0,1,0,2,2,1,3,1,2,2,0,5
510,8.1,10/08/2012,0,3,1,3,2,1,4,2,2,1,0,6
510,8.1,11/06/2012,0,5,1,14,2,1,8,3,5,2,0,10
510,8.1,15/06/2012,0,13,0,20,2,1,8,3,5,2,0,10
510,8.1,15/07/2012,0,3,0,10,2,1,4,3,1,2,0,6
510,8.1,16/06/2012,0,6,0,16,2,1,10,3,7,2,0,12
510,8.1,16/07/2012,0,6,0,10,2,1,3,3,0,2,0,5
510,8.1,17/07/2012,0,15,0,33,2,1,9,4,5,4,0,13
510,8.1,30/06/2012,0,2,0,4,2,1,5,3,2,2,0,7
510,8.1,31/05/2012,0,7,0,19,2,1,3,3,0,2,0,5
510,8.1,31/07/2012,0,4,0,11,2,1,5,3,2,3,0,8
514,8.1,02/07/2012,0,3,0,19,2,1,5,3,2,2,0,7
514,8.1,03/07/2012,1,10,0,20,2,1,5,3,2,2,0,7
514,8.1,04/07/2012,0,2,0,9,2,1,4,3,1,2,0,6
514,8.1,05/06/2012,0,12,0,36,2,1,5,2,3,2,0,7
514,8.1,11/06/2012,1,6,0,11,2,1,8,3,5,2,0,10
514,8.1,15/06/2012,1,8,0,14,2,1,8,3,5,2,0,10
514,8.1,15/07/2012,0,1,0,7,2,1,4,3,1,2,0,6
514,8.1,16/06/2012,0,2,0,11,2,1,10,3,7,2,0,12
514,8.1,16/07/2012,0,6,0,12,2,1,3,3,0,2,0,5
514,8.1,17/07/2012,0,11,0,30,2,1,9,4,5,4,0,13
514,8.1,30/06/2012,0,2,0,6,2,1,5,3,2,2,0,7
514,8.1,31/05/2012,1,12,0,25,2,1,3,3,0,2,0,5
514,8.1,31/07/2012,0,2,0,11,2,1,5,3,2,3,0,8
515,37,01/07/2012,0,2,0,11,2,1,4,3,1,0,0,4
515,37,02/07/2012,0,3,1,12,2,1,4,3,1,0,0,4
515,37,03/06/2012,0,4,0,11,2,1,4,3,1,0,0,4
515,37,05/08/2012,0,5,0,10,2,1,4,3,1,0,0,4
515,37,09/06/2012,0,8,0,20,2,1,4,3,1,0,0,4
515,37,13/06/2012,0,1,0,8,2,1,4,3,1,0,0,4
515,37,17/06/2012,0,5,0,33,2,1,4,3,1,0,0,4
515,37,22/05/2012,0,3,0,21,2,1,4,3,1,0,0,4
